LoRA Model Name	Source	JSON Setting Structure Example	Example Image
Anime	https://huggingface.co/XLabs-AI/flux-lora-collection	{"lora_type": "anime"}	Anime Example
Art	https://huggingface.co/XLabs-AI/flux-lora-collection	{"lora_type": "art"}	Art Example
Disney	https://huggingface.co/XLabs-AI/flux-lora-collection	{"lora_type": "disney"}	Disney Example
Furry	https://huggingface.co/XLabs-AI/flux-lora-collection	{"lora_type": "furry"}	Furry Example
MJv6	https://huggingface.co/XLabs-AI/flux-lora-collection	{"lora_type": "mjv6"}	MJv6 Example
Realism	https://huggingface.co/XLabs-AI/flux-lora-collection	{"lora_type": "realism"}	Realism Example
Scenery	https://huggingface.co/XLabs-AI/flux-lora-collection	{"lora_type": "scenery"}	Scenery Example
Collage Artstyle	https://civitai.com/models/748468/retro-collage-art	{"lora_type": "collage-artstyle"}	Collage Artstyle Example
Creepycute	https://civitai.com/models/788990/creepycute	{"lora_type": "creepcute"}	Creepycute Example
Cyberpunk Anime Style	https://civitai.com/models/128568/cyberpunk-anime-style	{"lora_type": "cyberpunk-anime-style"}	Cyberpunk Anime Style Example
Deco Pulse	https://civitai.com/models/720587/decopulse-flux	{"lora_type": "deco-pulse"}	Deco Pulse Example
Deep Sea Particle Enhancer	https://civitai.com/models/15452/paseer-moxin-assist-for-adding-colorful	{"lora_type": "deep-sea-particle-enhencer"}	Deep Sea Particle Enhancer Example
Faetastic Details	https://civitai.com/models/643886/flux-faetastic-details	{"lora_type": "faetastic-details"}	Faetastic Details Example
Fractal Geometry	https://civitai.com/models/269592/fractal-geometry-style-fluxsdxl15	{"lora_type": "fractal-geometry"}	Fractal Geometry Example
Galactixy Illustrations Style	https://civitai.com/models/747833/galactixy-illustrations-style	{"lora_type": "galactixy-illustrations-style"}	Galactixy Illustrations Style Example
Geometric Woman	https://civitai.com/models/103528/geometric-woman	{"lora_type": "geometric-woman"}	Geometric Woman Example
Graphic Portrait	https://civitai.com/models/170039/graphic-portrait	{"lora_type": "graphic-portrait"}	Graphic Portrait Example
Mat Miller Art	https://civitai.com/models/894974/mat-miller-art-style	{"lora_type": "mat-miller-art"}	Mat Miller Art Example
Moebius Style	https://civitai.com/models/682651/moebius-style-flux	{"lora_type": "moebius-style"}	Moebius Style Example
OB3D Isometric 3D Room	https://civitai.com/models/555323/ob3d-isometric-3d-room-v20	{"lora_type": "ob3d-isometric-3d-room"}	OB3D Isometric 3D Room Example
Paper Quilling and Layering Style	https://civitai.com/models/860403/paper-quilling-and-layering-style-flux	{"lora_type": "paper-quilling-and-layering-style"}
